Timestamp,Month,Survey,Country,State,City,Location,Lat Long,Licensure,Public/Private,401K Contribution %,ESOP Contribution,HSA Contribution,Education Attainment,Company Head Count,Years Current Role,Which best describes your participation in the Civil Engineering industry?,Discipline,Years Experience,Salary,Signing Bonus,Annual Bonus,Commission Compensation,Health Insurance,Paid Time Off,Work From Home,Hours Worked,Overtime,Looking For New Job,Student Loan Reimbursement,Company Vehicle,Job Satisfaction,Salary To Change Job,Gender,Paternity Leve,Maternity Leave
8/30/2024 20:35:44,25-Feb,2024-2025,United States of America,New York,New York,"New York, New York","40.7127753,-74.0059728",EIT,Public,,,,Masters Degree,1500,5,Full Time,Construction/Field,5,105000,,0,0,Yes but I still pay a premium,30,2,40,Not compensated (Exempt),No,Yes,Yes,8,155000,Male,480,
8/30/2024 20:36:57,25-Feb,2024-2025,United States of America,California,San Mateo,"San Mateo, California","37.5629917,-122.3255254",PE,Private,200.00%,N/A,0,Masters Degree,10,2,Full Time,Structural,2,91000,,4000,0,Yes and fully covered,15,2,45,Not compensated (Exempt),No,No,No,7,120,Male,0,
8/30/2024 20:38:17,25-Feb,2024-2025,United States of America,Michigan,Chicago,"Chicago, Michigan","41.8166966,-87.6230289",PE,Private,400.00%,2.00%,1400,Masters Degree,900,2,Full Time,Water Resources,6,100000,3000,3000,0,Yes but I still pay a premium,15,3,45,Straight time (1.0x),No,No,No,7,112000,Male,80,
8/30/2024 20:43:35,25-Feb,2024-2025,United States of America,New Mexico,Albuquerque,"Albuquerque, New Mexico","35.0843859,-106.650422",EIT,Public,,,,Bachelors Degree,5000,1,Full Time,Government/Municipal,1,70000,,1500,0,Yes but I still pay a premium,33,2,40,Time and a half (1.5x),No,Yes,No,8,100000,Male,480,
8/30/2024 20:43:48,25-Feb,2024-2025,United States of America,Texas,Houston,"Houston, Texas","29.7600771,-95.37011079999999",EIT,Private,350.00%,N/A,0,Bachelors Degree,26,3,Full Time,Water Resources,3,75000,,500,0,Yes and fully covered,15,1,40,Not compensated (Exempt),Yes,No,No,6,82000,Male,0,
8/30/2024 20:51:19,26-Feb,2024-2025,United States of America,Minnesota,Minneapolis,"Minneapolis, Minnesota","44.977753,-93.2650108",PE,Private,400.00%,N/A,1500,Bachelors Degree,500,6,Full Time,Environmental,11,170000,,60000,50000,Yes but I still pay a premium,20,2,50,Not compensated (Exempt),No,No,Yes,9,225000,Male,0,
8/30/2024 20:54:33,25-Feb,2024-2025,United States of America,Texas,Houston,"Houston, Texas","29.7600771,-95.37011079999999",PE,Private,100.00%,15.00%,1200,Masters Degree,2000,10,Full Time,Land Development,10,126000,,52000,0,Yes but I still pay a premium,18,0,45,Not compensated (Exempt),No,No,No,8,250000,Female,,240
8/30/2024 20:55:31,25-Feb,2024-2025,United States of America,California,Pleasanton,"Pleasanton, California","37.6604484,-121.8757968",EIT,Private,400.00%,N/A,"$1,500",Bachelors Degree,500,1,Full Time,Land Development,1,115000,5000,8000,0,Yes and fully covered,23,2,40,Time and a half (1.5x),Yes,No,No,8,125000,Male,0,
8/30/2024 20:56:53,25-Feb,2024-2025,United States of America,Nebraska,Lincoln,"Lincoln, Nebraska","40.8136634,-96.7025764",EIT,Public,,,,Bachelors Degree,500,6,Full Time,Transportation,4,80000,,0,0,Yes but I still pay a premium,14,0,40,Not compensated (Exempt),No,Yes,No,8,0,Male,0,
8/30/2024 20:57:58,25-Feb,2024-2025,United States of America,Tennessee,Knoxville,"Knoxville, Tennessee","35.9606384,-83.9207392",EIT,Private,300.00%,N/A,500,Masters Degree,40,1,Full Time,Land Development,2,78000,,0,0,Yes but I still pay a premium,13,5,40,Not compensated (Exempt),No,No,No,8,93000,Male,80,
8/30/2024 21:01:33,25-Feb,2024-2025,United States of America,California,Los Angeles,"Los Angeles, California","34.0549076,-118.242643",PE,Public,,,,Masters Degree,1000,6,Full Time,Structural,2,105000,,0,0,Yes but I still pay a premium,25,2,40,Straight time (1.0x),No,Yes,Yes,8,120000,,480,
8/30/2024 21:04:30,25-Feb,2024-2025,United States of America,Arizona,Phoenix,"Phoenix, Arizona","33.4483771,-112.0740373",PE,Private,350.00%,N/A,0,Bachelors Degree,200,7,Full Time,Transportation,7,113000,,2000,0,Yes but I still pay a premium,10,3,42,Straight time (1.0x),No,No,No,5,125000,Female,,
